geo,year,env_air_gge,road_eqs_carhab,sdg_07_11_2,sdg_07_11_3
RO,2010,14220.26,214.0,22.2,1.1
RO,2011,14346.04,216.0,22.7,1.13
RO,2012,15230.84,224.0,22.8,1.13
RO,2013,15047.26,235.0,21.8,1.09
RO,2014,15597.28,247.0,21.7,1.09
RO,2015,15706.86,261.0,21.8,1.1
RO,2016,16792.64,279.0,22.2,1.13
RO,2017,17935.04,307.0,23.3,1.19
RO,2018,18427.54,332.0,23.6,1.21
RO,2019,18917.21,357.0,23.9,1.23
RO,2020,18357.95,379.0,23.5,1.22
RO,2021,19557.73,400.0,25.4,1.33
RO,2022,21158.52,413.0,24.0,1.26
RO,2023,22124.76,425.0,23.3,1.22
