geo,variable,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US,env_air_gge,1858782.2694727732,1871724.975644738,1875889.231532096,1873390.6428821958,1769807.4139161722,1699506.7021402984,1707338.1910470212,1683056.5856406342,1669479.4364881113,1679496.6018181539,1712099.0370621006,1721926.7493804933,1761641.5739326335,1783274.9569266313,1815592.6871403393,1820657.4515529443,1574166.59045705,1753829.69410255
TR,env_air_gge,42048.054432125,42041.15990825,45423.9006135,52098.69334625,48166.327601,47906.788420783,45391.987229055,47385.843529605,62524.970326957,68864.9262806,73559.257148998,75797.659062463,81841.19990323897,84770.01614342704,84616.67738044061,82427.62238760442,80680.30356165941,91200.25191371544
IL,env_air_gge,14411.9834777812,14207.9226963643,14643.2171381718,15296.4950540858,15446.6635549821,15652.2407953324,16292.8836374166,16179.8290275879,16482.1345032329,16735.3733020646,16769.9618703844,17615.8887797329,18109.9425491364,18580.4665058332,18698.5021755726,18712.0135738722,16867.8741968817,17934.8506864422
